Date,Last Price,Volume
5/30/2018,24667.78,92479664
5/29/2018,24361.45,120239544
5/25/2018,24753.09,72276784
5/24/2018,24811.76,93473176
5/23/2018,24886.81,113460968
5/22/2018,24834.41,78551248
5/21/2018,25013.29,82238456
5/18/2018,24715.09,83546264
5/17/2018,24713.98,78499824
5/16/2018,24768.93,79616480
5/15/2018,24706.41,90597488
5/14/2018,24899.41,80264608
5/11/2018,24831.17,83038152
5/10/2018,24739.53,81118512
5/9/2018,24542.54,92973424
5/8/2018,24360.21,94052520
5/7/2018,24357.32,81314288
5/4/2018,24262.51,93759520
5/3/2018,23930.15,111518064
5/2/2018,23924.98,105024720
5/1/2018,24099.05,100003112
4/30/2018,24163.15,127102088
4/27/2018,24311.19,97712952
4/26/2018,24322.34,108132504
4/25/2018,24083.83,114897536
4/24/2018,24024.13,122388408
4/23/2018,24448.69,104568912
4/20/2018,24462.94,160586400
4/19/2018,24664.89,99210024
4/18/2018,24748.07,77458056
4/17/2018,24786.63,87230192
4/16/2018,24573.04,85438152
4/13/2018,24360.14,85816528
4/12/2018,24483.05,94176160
4/11/2018,24189.45,78547768
4/10/2018,24408,109322408
4/9/2018,23979.1,117444440
4/6/2018,23932.76,116689928
4/5/2018,24505.22,100243040
4/4/2018,24264.3,113393504
4/3/2018,24033.36,115989616
4/2/2018,23644.19,154073104
3/29/2018,24103.11,164787520
3/28/2018,23848.42,144373088
3/27/2018,23857.71,143578704
3/26/2018,24202.6,143721056
3/23/2018,23533.2,140958256
3/22/2018,23957.89,125220104
3/21/2018,24682.31,97199392
3/20/2018,24727.27,95064184
3/19/2018,24610.91,115835472
3/16/2018,24946.51,349358784
3/15/2018,24873.66,90799352
3/14/2018,24758.12,102684624
3/13/2018,25007.03,110557296
3/12/2018,25178.61,99533760
3/9/2018,25335.74,102187552
3/8/2018,24895.21,88859360
3/7/2018,24801.36,102303384
3/6/2018,24884.12,93405184
3/5/2018,24874.76,105004560
3/2/2018,24538.06,120190200
3/1/2018,24608.98,135695648
2/28/2018,25029.2,135541856
2/27/2018,25410.03,119210208
2/26/2018,25709.27,123397944
2/23/2018,25309.99,91399808
2/22/2018,24962.48,96386776
2/21/2018,24797.78,124434712
2/20/2018,24964.75,103980552
2/16/2018,25219.38,127026632
2/15/2018,25200.37,110595640
2/14/2018,24893.49,114401024
2/13/2018,24640.45,99077712
2/12/2018,24601.27,149693824
2/9/2018,24190.9,198760880
2/8/2018,23860.46,179770672
2/7/2018,24893.35,146600464
2/6/2018,24912.77,231378064
2/5/2018,24345.75,210835440
2/2/2018,25520.96,140879408
2/1/2018,26186.71,111586352
1/31/2018,26149.39,140120144
1/30/2018,26076.89,111858544
1/29/2018,26439.48,110919888
1/26/2018,26616.71,123610888
1/25/2018,26392.79,95732448
1/24/2018,26252.12,123271104
1/23/2018,26210.81,109272288
1/22/2018,26214.6,126357768
1/19/2018,26071.72,171541424
1/18/2018,26017.81,122470760
1/17/2018,26115.65,133700112
1/16/2018,25792.86,171084224
1/12/2018,25803.19,103878720
1/11/2018,25574.73,90362032
1/10/2018,25369.13,88372752
1/9/2018,25385.8,88521520
1/8/2018,25283,97611920
1/5/2018,25295.87,99171640
1/4/2018,25075.13,101492432
1/3/2018,24922.68,113225760
1/2/2018,24824.01,93865624
12/29/2017,24719.22,99506544
12/28/2017,24837.51,50953688
12/27/2017,24774.3,60501912
12/26/2017,24746.21,59977792
12/22/2017,24754.06,78610392
12/21/2017,24782.29,101366032
12/20/2017,24726.65,99129144
12/19/2017,24754.75,99474688
12/18/2017,24792.2,107462152
12/15/2017,24651.74,317292512
12/14/2017,24508.66,84757952
12/13/2017,24585.43,93786816
12/12/2017,24504.8,102133696
12/11/2017,24386.03,84768184
12/8/2017,24329.16,81472216
12/7/2017,24211.48,85468440
12/6/2017,24140.91,94435240
12/5/2017,24180.64,111255472
12/4/2017,24290.05,117013856
12/1/2017,24231.59,123385088
11/30/2017,24272.35,169752064
11/29/2017,23940.68,105160448
11/28/2017,23836.71,87841728
11/27/2017,23580.78,85005680
11/24/2017,23557.99,36736260
11/22/2017,23526.18,71066720
11/21/2017,23590.83,92497056
11/20/2017,23430.33,80004992
11/17/2017,23358.24,106204512
11/16/2017,23458.36,93734208
11/15/2017,23271.28,97936064
11/14/2017,23409.47,123259752
11/13/2017,23439.7,109022184
11/10/2017,23422.21,88393136
11/9/2017,23461.94,79691824
11/8/2017,23563.36,72797832
11/7/2017,23557.23,76941488
11/6/2017,23548.42,87868312
11/3/2017,23539.19,78599064
11/2/2017,23516.26,87301864
11/1/2017,23435.01,90304176
10/31/2017,23377.24,110803456
10/30/2017,23348.74,107582208
10/27/2017,23434.19,127750248
10/26/2017,23400.86,89231720
10/25/2017,23329.46,102612800
10/24/2017,23441.76,88199112
10/23/2017,23273.96,109474336
10/20/2017,23328.63,128229232
10/19/2017,23163.04,86237760
10/18/2017,23157.6,64881048
10/17/2017,22997.44,65936060
10/16/2017,22956.96,64940064
10/13/2017,22871.72,74683112
10/12/2017,22841.01,76255584
10/11/2017,22872.89,86708128
10/10/2017,22830.68,78345344
10/9/2017,22761.07,74918576
10/6/2017,22773.67,63604168
10/5/2017,22775.39,66913328
10/4/2017,22661.64,66049752
10/3/2017,22641.67,60991248
10/2/2017,22557.6,74050160
9/29/2017,22405.09,88016512
9/28/2017,22381.2,75655024
9/27/2017,22340.71,93016648
9/26/2017,22284.32,80017824
9/25/2017,22296.09,102605000
9/22/2017,22349.59,84573792
9/21/2017,22359.23,80282064
9/20/2017,22412.59,93616064
9/19/2017,22370.8,80954800
9/18/2017,22331.35,81321488
9/15/2017,22268.34,276388896
9/14/2017,22203.48,84161904
9/13/2017,22158.18,78271048
9/12/2017,22118.86,96089184
9/11/2017,22057.37,90501048
9/8/2017,21797.79,77327648
9/7/2017,21784.78,84964544
9/6/2017,21807.64,89896832
9/5/2017,21753.31,90507776
9/1/2017,21987.56,71060728
8/31/2017,21948.1,131658400
8/30/2017,21892.43,73015168
8/29/2017,21865.37,64593400
8/28/2017,21808.4,69204944
8/25/2017,21813.67,63934272
8/24/2017,21783.4,67719344
8/23/2017,21812.09,68876160
8/22/2017,21899.89,71556952
8/21/2017,21703.75,85502752
8/18/2017,21674.51,103641800
8/17/2017,21750.73,95983120
8/16/2017,22024.87,77187344
8/15/2017,21998.99,67615112
8/14/2017,21993.71,70882120
8/11/2017,21858.32,69862728
8/10/2017,21844.01,85197600
8/9/2017,22048.7,70957104
8/8/2017,22085.34,67845640
8/7/2017,22118.42,59559020
8/4/2017,22092.81,73643272
8/3/2017,22026.1,71273448
8/2/2017,22016.24,89832472
8/1/2017,21963.92,81196352
7/31/2017,21891.12,103845800
7/28/2017,21830.31,72970192
7/27/2017,21796.55,111399904
7/26/2017,21711.01,70733808
7/25/2017,21613.43,83576864
7/24/2017,21513.17,88390816
7/21/2017,21580.07,109708496
7/20/2017,21611.78,85281760
7/19/2017,21640.75,69062032
7/18/2017,21574.73,63976180
7/17/2017,21629.72,70534032
7/14/2017,21637.74,66008220
7/13/2017,21553.09,69482520
7/12/2017,21532.14,81783272
7/11/2017,21409.07,70282976
7/10/2017,21408.52,72627776
7/7/2017,21414.34,72678784
7/6/2017,21320.04,88108896
7/5/2017,21478.17,79565632
7/3/2017,21479.27,57803632
6/30/2017,21349.63,100731800
6/29/2017,21287.03,96148336
6/28/2017,21454.61,76142888
6/27/2017,21310.66,84487632
6/26/2017,21409.55,68340336
6/23/2017,21394.76,143179808
6/22/2017,21397.29,78152248
6/21/2017,21410.03,77562496
6/20/2017,21467.14,83757904
6/19/2017,21528.99,88376752
6/16/2017,21384.28,288559808
6/15/2017,21359.9,87151632
6/14/2017,21374.56,83202464
6/13/2017,21328.47,89255192
6/12/2017,21235.67,135223008
6/9/2017,21271.97,120385800
6/8/2017,21182.53,96884064
6/7/2017,21173.69,80769608
6/6/2017,21136.23,79191248
6/5/2017,21184.04,65856328
6/2/2017,21206.29,96353776
6/1/2017,21144.18,76950608
5/31/2017,21008.65,135219104
5/30/2017,21029.47,65418912
5/26/2017,21080.28,56526072
5/25/2017,21082.95,67991592
5/24/2017,21012.42,73849528
5/23/2017,20937.91,65564112
5/22/2017,20894.83,78184464
5/19/2017,20804.84,127292896
5/18/2017,20663.02,109612096
5/17/2017,20606.93,113834704
5/16/2017,20979.75,75902880
5/15/2017,20981.94,88617008
5/12/2017,20896.61,75784144
5/11/2017,20919.42,78624144
5/10/2017,20943.11,71576624
5/9/2017,20975.78,72620032
5/8/2017,21012.28,79476032
5/5/2017,21006.94,69554912
5/4/2017,20951.47,73235344
5/3/2017,20957.9,82453208
5/2/2017,20949.89,91324704
5/1/2017,20913.46,78619408
4/28/2017,20940.51,95038120
4/27/2017,20981.33,79396400
4/26/2017,20975.09,84925456
4/25/2017,20996.12,87068320
